full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Nsanyiwa Kiloba,nsanyiwa.kiloba@saccos.local,+255712000101,ILS24-F00001,19910318-12458-00001-28,,active,11083081,350000,2025-03-14T09:15:00Z,2025-04-05T10:20:00Z,250000,2025-12-18T13:10:00Z,Legacy migrated saver with visible withdrawal,,,,,,,
Werema Msongo,werema.msongo@saccos.local,+255712000102,ILS24-F00002,19891207-23841-00002-11,,active,16228537,500000,2025-02-11T08:45:00Z,2025-03-12T11:10:00Z,400000,2025-11-20T14:00:00Z,Imported active borrower,LN-0001,3000000,12,12,active,2025-05-09T09:30:00Z,250000,2026-02-10T10:15:00Z
Norbert Massay,norbert.massay@saccos.local,+255712000103,ILS24-F00003,19900522-14567-00003-34,,active,15041029,450000,2025-01-22T09:00:00Z,2025-02-22T10:00:00Z,150000,2025-10-15T12:30:00Z,Imported active borrower,LN-0002,1500000,12,12,active,2025-06-18T11:45:00Z,125000,2026-01-21T09:40:00Z
Evarest Exavery Francisco,evarest.francisco@saccos.local,+255712000104,ILS24-F00004,19940411-22419-00004-08,,active,3494377,180000,2025-04-03T10:30:00Z,2025-05-02T09:45:00Z,50000,2026-01-04T15:20:00Z,Legacy migrated member with light withdrawal,,,,,,,
Elianshisharia Munisi,elianshisharia.munisi@saccos.local,+255712000105,ILS24-F00005,19961009-17865-00005-46,,active,7185839,260000,2025-05-12T08:55:00Z,2025-06-15T10:05:00Z,0,,Opening savings and shares only,,,,,,,
Emmanuel Matee,emmanuel.matee@saccos.local,+255712000106,ILS24-F00006,19880830-26745-00006-13,,active,5500000,600000,2025-06-08T09:10:00Z,2025-06-29T11:40:00Z,300000,2025-12-03T13:15:00Z,Imported borrower,LN-0003,2000000,10,10,active,2025-07-11T09:20:00Z,180000,2026-02-14T08:50:00Z
Erick Kitali,erick.kitali@saccos.local,+255712000107,ILS24-F00007,19920716-18422-00007-25,,active,10000000,900000,2025-03-28T08:20:00Z,2025-04-30T10:10:00Z,500000,2025-09-19T14:10:00Z,High-balance borrower,LN-0004,4000000,12,18,active,2025-05-28T12:00:00Z,350000,2026-03-01T11:00:00Z
Felix Daniel,felix.daniel@saccos.local,+255712000108,ILS24-F00008,19981125-19877-00008-39,,active,149765,50000,2025-08-07T07:45:00Z,2025-08-21T10:25:00Z,0,,Low-balance saver,,,,,,,
Gideon Gabriel,gideon.gabriel@saccos.local,+255712000109,ILS24-F00009,19930113-21459-00009-52,,active,1452187,120000,2025-07-16T09:50:00Z,2025-08-14T11:20:00Z,35000,2025-12-22T16:10:00Z,Member with steady savings activity,,,,,,,
Mosses Makoko,mosses.makoko@saccos.local,+255712000110,ILS24-F00010,19870521-16384-00010-17,,active,5171615,275000,2025-09-04T08:35:00Z,2025-09-25T10:45:00Z,200000,2026-01-18T14:30:00Z,Imported active borrower,LN-0005,1200000,10,12,active,2025-10-02T13:20:00Z,100000,2026-03-05T09:25:00Z
Jacob Shabani Mangu,jacob.mangu@saccos.local,+255712000111,ILS24-F00011,19910902-18231-00011-40,,active,6000000,400000,2025-04-19T09:25:00Z,2025-05-20T09:25:00Z,150000,2025-11-08T15:05:00Z,Mid-tier saver with withdrawal history,,,,,,,
Mlindwa Kashindye,mlindwa.kashindye@saccos.local,+255712000112,ILS24-F00012,19941117-23944-00012-09,,active,6136753,410000,2025-06-01T08:10:00Z,2025-06-27T09:15:00Z,100000,2026-02-01T13:50:00Z,Mid-tier saver with recent cash activity,,,,,,,
Emmanuel Matechi,emmanuel.matechi@saccos.local,+255712000113,ILS24-F00013,19990628-15490-00013-31,,active,2943380,160000,2025-10-10T09:05:00Z,2025-10-31T10:40:00Z,60000,2026-02-19T12:40:00Z,Member with contributions only,,,,,,,
Kanuti Simba,kanuti.simba@saccos.local,+255712000114,ILS24-F00014,19861103-24711-00014-26,,active,3695262,150000,2025-01-10T07:55:00Z,2025-02-10T10:15:00Z,80000,2025-08-17T13:45:00Z,Imported active borrower,LN-0006,800000,12,8,active,2025-09-09T10:10:00Z,90000,2026-01-12T08:30:00Z
Mohamed Khalfan Mohamed,mohamed.khalfan@saccos.local,+255712000115,ILS24-F00015,19951014-20573-00015-14,,active,3639212,175000,2025-11-15T08:40:00Z,2025-12-05T11:10:00Z,25000,2026-03-03T10:05:00Z,Savings and shares only,,,,,,,
